sample_id,patient_id,label,split,dwt_l1_lh_mean,dwt_l1_lh_std,dwt_l1_lh_energy,dwt_l1_lh_entropy,dwt_l1_hl_mean,dwt_l1_hl_std,dwt_l1_hl_energy,dwt_l1_hl_entropy,dwt_l1_hh_mean,dwt_l1_hh_std,dwt_l1_hh_energy,dwt_l1_hh_entropy,dwt_l2_ll_mean,dwt_l2_ll_std,dwt_l2_ll_energy,dwt_l2_ll_entropy,dwt_l2_lh_mean,dwt_l2_lh_std,dwt_l2_lh_energy,dwt_l2_lh_entropy,dwt_l2_hl_mean,dwt_l2_hl_std,dwt_l2_hl_energy,dwt_l2_hl_entropy,dwt_l2_hh_mean,dwt_l2_hh_std,dwt_l2_hh_energy,dwt_l2_hh_entropy
1,100360,1,train,0.00010305908569218049,0.04845367493332021,0.002347769235719007,0.8665952117656044,0.0005148673648312302,0.03412753457508091,0.0011649537045767108,0.7769584061637222,9.482181372021758e-05,0.0273450761333938,0.0007477621799174602,0.5414214938743462,0.5347965150752515,1.0298182754187266,1.3465329929230339,1.5939219910873856,-0.0006760820047906921,0.11497492123272944,0.01321968959934954,1.2865508393261775,-0.00021168241863340568,0.08470184704404247,0.007174447702118727,1.2111728403305204,-0.0004688572868597104,0.05166070893235254,0.002669048674548691,1.1978909314056416
2,100360,1,train,-0.0004006461305378358,0.0403319246984613,0.001626824667204268,1.462194920255834,-0.0004070109948956657,0.03567147273632278,0.0012726196251281853,1.1618793921970094,0.0004403404873856427,0.023334770863311805,0.0005447054309880966,0.8466701859712373,0.9150317995937923,1.1291033915249702,2.112157663021044,2.549249078777135,0.0018955324589043393,0.10925527578205728,0.011940308329516152,1.9666316143659563,-0.0002959301394596889,0.08827104513421535,0.007791864983734124,1.8608604497058494,-7.309604363856216e-05,0.04275255433285965,0.0018277862450157122,1.9230013869386564
3,100360,1,train,-0.00017923049099698382,0.03969060710008065,0.0015753764155418755,1.4782735100420183,0.00036093399589937417,0.033919367641822594,0.0011506537745705175,1.247007164198369,0.00013256211825729135,0.022467589623942425,0.0005048101562250821,0.7663531096135591,0.8867949126618611,1.0824236838376162,1.9580462484555536,2.4523300941654487,0.0003961760828588777,0.09466189540409525,0.008961031396984499,1.9947467096788836,0.0013689990279536978,0.08746347788842546,0.007651734122677628,1.90401740527314,-0.0011262188352374096,0.04781774069320765,0.00228780469386769,1.831529738309274
4,100360,1,train,0.0004148696671576285,0.03908651530010547,0.0015279277951461068,1.5485697137259495,0.00030851770611205285,0.037345354173532776,0.0013947706615215865,1.3076563206814198,0.00040509810285455387,0.023558408769102212,0.0005551627282050481,0.9020491616971874,0.8835637573971316,1.1057141252500067,2.0032886401631242,2.4099882759004707,-4.809529483370687e-05,0.10242325796068247,0.010490526084437887,1.9968993215392028,-0.00030203302763986983,0.10303528685236028,0.010616361560697953,1.8869314517709446,-0.0012393848669390607,0.04486921328875538,0.00201478237600022,1.9271952739081597
5,100360,1,train,-4.4577836152710754e-05,0.0322884330609538,0.0010425448967151705,1.4728722798314948,0.00024017431040311674,0.032469068879641926,0.0010542981176103095,1.515850001681953,0.0001865827021073308,0.017821419040787774,0.0003176377897320786,0.8160558015767708,0.6075751015551512,0.9450861353860426,1.2623353073286774,2.306130319734525,0.0008995808714961645,0.08241141477437228,0.006792450530857988,1.912215254346353,0.0018918470343853562,0.08906636848095122,0.007936397079586092,1.8694606082996406,-0.0013538632465634084,0.041250809918087716,0.0017034622645885995,1.8586394708084422
6,100572,1,train,-8.631389037038223e-05,0.0497067826976898,0.0024707716962430256,0.8243296617996508,0.0006800012312520985,0.050816409070245955,0.0025827698324690793,0.7691351626923312,-8.481006033321966e-06,0.0247233086936625,0.0006112420646895908,0.4176346643794469,0.8869247547565127,1.3078530932540715,2.497115234134143,2.199413991779722,0.0004955269621224704,0.10522101492610972,0.011071707529050796,1.5368325916653645,-0.0008875460243482125,0.09559777699731899,0.009139722704774469,1.5857227538654042,0.0002633644584993819,0.05918070985320457,0.0035024257795671855,1.0862051705512206
7,100572,1,train,-0.0003313088337697822,0.041175187096857524,0.0016955057980045562,0.8722660603872586,0.0008211618952850016,0.04405212386713685,0.0019412639240638362,0.7545698359535402,-0.0002073054914996471,0.019262344769838846,0.00037108090159894386,0.3816092640839941,0.9631424451675461,1.292838808600134,2.599075554705933,2.2565101041002102,0.0013088465636464377,0.08914086974473709,0.007947807738175354,1.7000013817892063,-0.002018407695884242,0.0901180414649657,0.008125335367108083,1.548074251127154,0.0007462045202458526,0.05302781980723916,0.0028125064946950607,1.126366431434907
8,100572,1,train,-0.001700017956586976,0.04704668331261919,0.0022162804717705997,0.7853206972438543,-0.0003611303275153394,0.05032347832935664,0.0025325828862786787,0.6474211315931828,-0.00012273911805547923,0.02165795798889023,0.00046908220913963536,0.393254337704121,0.8113578390765125,1.2616900973465826,2.2501634447733365,2.020554005905308,-0.0027276258733212443,0.09813571068583155,0.009638057654718042,1.5092733980115234,-0.002619592178663362,0.09716826534417154,0.009448534053177844,1.4477555283653896,-0.0010900581418947961,0.051834125251005767,0.0026879647672896642,1.1512351555765186
9,101016,1,train,-0.00020055152079056796,0.03270334489588277,0.001069548988291553,1.0108244967062798,-0.0005254930839736013,0.02832900439087475,0.0008028086327595052,0.8216186927641143,-8.726619051758532e-06,0.015962504976788507,0.0002548016412878778,0.4131400115129896,0.5893108544832543,0.8147736732383194,1.011143421814047,2.118478739902474,0.0009219623266152395,0.06730340388386784,0.004530598188886735,1.613124775307013,-0.00023877462448129851,0.0600583531484165,0.003607062796221207,1.484065853157584,0.000580519042787249,0.0323892082248281,0.0010493978117903113,1.3062279991828536
10,101016,1,train,-0.00025592097869284885,0.03733832714685691,0.0013942161696730469,0.9296936435113887,0.0009393365284395064,0.038995064549629664,0.001521497412343445,0.8847858405419611,-5.335898088985662e-05,0.018694159431216818,0.0003494744440205942,0.5271282717584328,1.2369263861908428,1.542597582313278,3.909594185813908,2.4475674060231905,-0.00037620793711319654,0.07728729965245379,0.0059734682199801305,1.7064703530896532,0.0005901832377804266,0.09204155819086474,0.008471996750456495,1.557165539119019,-0.0004350748473248023,0.04659746403690255,0.0021715129447932003,1.3425531971986777
